"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"6026","0.29375","0.15625","0.578125","0.28125","0.203125","0.421875"
"6076","0.33125","0.109375","0.484375","0.359375","0.15625","0.828125"
"6087","0.259375","0.125","0.65625","0.346875","0.09375","0.765625"
"6089","0.378125","0.03125","0.578125","0.471875","0.234375","0.8125"
"6125","0.128125","0.046875","0.265625","0.2875","0.109375","0.515625"
"6139","0.278125","0.109375","0.578125","0.346875","0.171875","0.625"
"6196","0.20625","0.140625","0.359375","0.428125","0.234375","0.703125"
"6208","0.28125","0.109375","0.390625","0.20625","0.109375","0.296875"
"6221","0.415625","0.15625","0.84375","0.2875","0.125","0.53125"
"6232","0.175","0.125","0.234375","0.284375","0.140625","0.484375"
"6243","0.225","0.109375","0.5","0.30625","0.109375","0.640625"
"6297","0.259375","0.171875","0.390625","0.6125","0.09375","0.859375"
"6312","0.165625","0.078125","0.296875","0.34375","0.125","0.765625"
"6318","0.23125","0.109375","0.484375","0.234375","0.171875","0.3125"
"6322","0.23125","0.0625","0.40625","0.246875","0.15625","0.375"
"6334","0.165625","0.140625","0.1875","0.309375","0.15625","0.484375"
"6351","0.490625","0.140625","0.6875","0.259375","0.078125","0.625"
"6357","0.215625","0.140625","0.375","0.384375","0.15625","0.65625"
"6370","0.453125","0.140625","0.75","0.1875","0.09375","0.265625"
"6387","0.425","0.15625","0.75","0.375","0.125","0.65625"
"6440","0.228125","0.046875","0.484375","0.35625","0.171875","0.609375"
"6442","0.31875","0.109375","0.453125","0.353125","0.15625","0.5625"
"6447","0.2375","0.125","0.5625","0.240625","0.078125","0.484375"
"6455","0.471875","0.15625","0.78125","0.275","0.09375","0.78125"
"6484","0.209375","0.046875","0.640625","0.309375","0.125","0.671875"
"6495","0.4","0.28125","0.6875","0.340625","0.171875","0.71875"
"6534","0.2","0.140625","0.234375","0.53125","0.0625","0.90625"
"6551","0.203125","0.140625","0.25","0.353125","0.171875","0.796875"
"6552","0.228125","0.109375","0.421875","0.353125","0.140625","0.609375"
"6565","0.15625","0.0625","0.40625","0.425","0.09375","0.75"
"6603","0.246875","0.0625","0.390625","0.296875","0.078125","0.6875"
"6627","0.365625","0.21875","0.484375","0.290625","0.125","0.75"
"6630","0.3625","0.265625","0.4375","0.309375","0.140625","0.75"
"6644","0.221875","0.125","0.375","0.2","0.140625","0.25"
"6659","0.128125","0.046875","0.234375","0.3375","0.125","0.546875"
"6673","0.225","0.09375","0.375","0.240625","0.0625","0.65625"
"6676","0.28125","0.21875","0.390625","0.490625","0.15625","0.796875"
"6691","0.225","0.140625","0.28125","0.56875","0.265625","0.75"
"6692","0.2375","0.078125","0.453125","0.1375","0.0625","0.203125"
"6695","0.171875","0.109375","0.25","0.528125","0.125","0.859375"
"6700","0.2375","0.109375","0.5625","0.478125","0.171875","0.875"
"6742","0.259375","0.21875","0.296875","0.39375","0.109375","0.71875"
"6749","0.4375","0.21875","0.765625","0.275","0.171875","0.578125"
"6759","0.240625","0.078125","0.484375","0.309375","0.125","0.625"
"6763","0.1625","0.046875","0.40625","0.4","0.234375","0.71875"
"6782","0.2875","0.15625","0.5625","0.5","0.140625","0.71875"
"6826","0.1375","0.046875","0.234375","0.496875","0.171875","0.90625"
"6828","0.284375","0.0625","0.71875","0.409375","0.203125","0.625"
"6886","0.296875","0.09375","0.71875","0.421875","0.15625","0.765625"
"6944","0.3125","0.109375","0.453125","0.309375","0.140625","0.734375"
"6955","0.225","0.109375","0.390625","0.31875","0.21875","0.453125"
"6973","0.290625","0.125","0.5","0.15","0.09375","0.203125"
"7004","0.40625","0.1875","0.75","0.459375","0.265625","0.8125"
"7007","0.31875","0.265625","0.359375","0.315625","0.15625","0.796875"
"7010","0.30625","0.125","0.5","0.46875","0.0625","0.828125"
"7056","0.153125","0.078125","0.296875","0.471875","0.140625","0.796875"
"7061","0.159375","0.0625","0.28125","0.5125","0.125","0.828125"
"7064","0.21875","0.109375","0.359375","0.45","0.140625","0.890625"
"7077","0.39375","0.140625","0.671875","0.546875","0.203125","0.875"
"7112","0.315625","0.125","0.421875","0.36875","0.109375","0.90625"
"7162","0.25625","0.15625","0.328125","0.371875","0.15625","0.671875"
"7200","0.225","0.078125","0.4375","0.23125","0.0625","0.578125"
"7212","0.2125","0.09375","0.40625","0.45625","0.09375","0.6875"
"7238","0.259375","0.078125","0.546875","0.303125","0.171875","0.453125"
"7239","0.20625","0.09375","0.375","0.209375","0.109375","0.265625"
"7248","0.303125","0.125","0.484375","0.60625","0.0625","0.890625"
"7275","0.259375","0.09375","0.40625","0.290625","0.109375","0.875"
"7299","0.275","0.15625","0.4375","0.328125","0.171875","0.671875"
"7301","0.35625","0.15625","0.5625","0.303125","0.125","0.71875"
"7349","0.28125","0.234375","0.34375","0.253125","0.15625","0.453125"
"7357","0.290625","0.140625","0.734375","0.51875","0.1875","0.890625"
"7373","0.18125","0.046875","0.359375","0.53125","0.171875","0.875"
"7390","0.3","0.21875","0.453125","0.334375","0.125","0.8125"
"7431","0.271875","0.140625","0.578125","0.309375","0.078125","0.671875"
"7441","0.434375","0.296875","0.609375","0.475","0.234375","0.671875"
