"Step","postactivation_production: mlp - Train/Losses","postactivation_production: mlp - Train/Losses__MIN","postactivation_production: mlp - Train/Losses__MAX","postactivation_production: kan - Train/Losses","postactivation_production: kan - Train/Losses__MIN","postactivation_production: kan - Train/Losses__MAX"
"3921","1.3974495887756349","1.2347898483276367","1.5019519329071045","1.9718629866838455","1.6004122495651245","2.3195443153381348"
"3974","1.764411417643229","1.7213016748428345","1.7964669466018677","2.0833151787519455","1.9042167663574219","2.1727194786071777"
"3993","1.6820418993631998","1.6326954364776611","1.7117770910263062","2.016400933265686","1.9417705535888672","2.063549041748047"
"4009","2.276607704162598","2.220202684402466","2.3451333045959473","2.3087031841278076","2.2883682250976562","2.3346657752990723"
"4012","1.9111040353775024","1.8557384014129639","1.9960813522338867","2.1827020049095154","2.1066954135894775","2.2392468452453613"
"4016","2.0905646800994875","2.0512583255767822","2.1592910289764404","2.259876996278763","2.2441415786743164","2.2753632068634033"
"4032","2.2639484882354735","2.244750499725342","2.3006434440612793","2.286997467279434","2.23276424407959","2.3435583114624023"
"4054","2.341936715443929","2.3132572174072266","2.374986171722412","2.3421208560466766","2.3014419078826904","2.3902792930603027"
"4101","1.3676653226216635","1.273967981338501","1.4831712245941162","1.7456863671541214","1.492215633392334","1.8880760669708252"
"4114","2.2651979128519693","2.2402663230895996","2.2987194061279297","2.30963858962059","2.2826175689697266","2.3403871059417725"
"4131","1.8327850739161173","1.799363613128662","1.8741986751556396","2.109474703669548","1.9768065214157104","2.228062152862549"
"4148","0.5009924908479054","0.4384438395500183","0.5700953602790833","0.6537221409380436","0.49147549271583557","0.8551048636436462"
"4162","1.9575044711430867","1.9051198959350586","1.9985030889511108","2.2029446065425873","2.0970540046691895","2.2547597885131836"
"4163","1.3319266239802043","1.245502233505249","1.4791028499603271","1.7692367136478424","1.6457278728485107","1.9075381755828857"
"4175","2.1612932682037354","2.1266791820526123","2.1891846656799316","2.268412560224533","2.2373359203338623","2.3013081550598145"
"4184","1.7144192854563396","1.6896051168441772","1.7353136539459229","1.9861664474010468","1.804255723953247","2.0951247215270996"
"4213","1.1886555194854735","1.0338630676269531","1.3253443241119385","1.6564971804618835","1.3717516660690308","2.008183002471924"
"4281","2.2720556259155273","2.258582592010498","2.2905168533325195","2.290809243917465","2.274369239807129","2.322913408279419"
"4321","2.2694490909576417","2.220304489135742","2.296754837036133","2.2824803590774536","2.258016586303711","2.30076265335083"
"4337","1.965592662493388","1.9038994312286377","2.022996425628662","2.1564820408821106","2.0494086742401123","2.282508373260498"
"4349","1.94120086034139","1.838695764541626","2.045558214187622","2.1435063630342484","1.996822714805603","2.3473639488220215"
"4369","2.231753778457642","2.1991207599639893","2.288557767868042","2.2760273814201355","2.2207913398742676","2.327548027038574"
"4402","2.095067087809245","2.038115978240967","2.1377267837524414","2.2222100496292114","2.153651475906372","2.2982735633850098"
"4420","1.9172890663146973","1.792163372039795","2.095686912536621","2.1727367639541626","2.0894460678100586","2.3377652168273926"
"4424","1.907756010691325","1.8875786066055298","1.9363462924957275","2.043273478746414","1.9428417682647705","2.114002227783203"
"4425","1.6622095425923666","1.61735999584198","1.6842896938323975","1.9075320959091187","1.724609136581421","2.044570207595825"
"4447","1.950870895385742","1.8972584009170532","1.997987151145935","2.204952508211136","2.180046319961548","2.2269418239593506"
