"Step","postactivation_production: mlp - Train/Accuracy","postactivation_production: mlp - Train/Accuracy__MIN","postactivation_production: mlp - Train/Accuracy__MAX","postactivation_production: kan - Train/Accuracy","postactivation_production: kan - Train/Accuracy__MIN","postactivation_production: kan - Train/Accuracy__MAX"
"6125","0.30520833333333336","0.21875","0.421875","0.240234375","0.140625","0.3125"
"6139","0.34270833333333334","0.28125","0.4375","0.3125","0.296875","0.328125"
"6196","0.45625","0.359375","0.59375","0.37109375","0.3125","0.453125"
"6208","0.3020833333333333","0.21875","0.34375","0.26953125","0.234375","0.296875"
"6221","0.884375","0.828125","0.921875","0.837890625","0.796875","0.859375"
"6232","0.17395833333333333","0.140625","0.25","0.189453125","0.125","0.234375"
"6243","0.7354166666666667","0.640625","0.8125","0.607421875","0.546875","0.65625"
"6297","0.40625","0.359375","0.46875","0.4140625","0.359375","0.5"
"6312","0.3489583333333333","0.3125","0.390625","0.3046875","0.265625","0.328125"
"6318","0.8041666666666667","0.6875","0.875","0.638671875","0.546875","0.71875"
"6322","0.09375","0.03125","0.15625","0.11328125","0.09375","0.140625"
"6334","0.14791666666666667","0.09375","0.1875","0.1328125","0.109375","0.15625"
"6351","0.5729166666666666","0.484375","0.671875","0.533203125","0.484375","0.5625"
"6357","0.15625","0.09375","0.21875","0.150390625","0.09375","0.203125"
"6370","0.146875","0.109375","0.1875","0.158203125","0.109375","0.234375"
"6387","0.3416666666666667","0.28125","0.4375","0.302734375","0.234375","0.375"
"6440","0.175","0.09375","0.25","0.115234375","0.046875","0.15625"
"6442","0.22395833333333334","0.171875","0.296875","0.263671875","0.234375","0.296875"
"6447","0.29375","0.203125","0.375","0.251953125","0.1875","0.328125"
"6455","0.12395833333333334","0.078125","0.203125","0.109375","0.0625","0.15625"
"6484","0.14166666666666666","0.078125","0.203125","0.138671875","0.09375","0.171875"
"6495","0.809375","0.78125","0.84375","0.748046875","0.6875","0.78125"
"6534","0.18229166666666666","0.140625","0.21875","0.1484375","0.09375","0.1875"
"6551","0.2833333333333333","0.21875","0.328125","0.26953125","0.234375","0.3125"
"6552","0.13958333333333334","0.078125","0.1875","0.119140625","0.09375","0.140625"
"6565","0.2125","0.125","0.34375","0.15625","0.0625","0.28125"
"6603","0.153125","0.078125","0.25","0.134765625","0.078125","0.28125"
"6627","0.3020833333333333","0.234375","0.359375","0.28125","0.25","0.34375"
"6630","0.40729166666666666","0.359375","0.46875","0.42578125","0.40625","0.453125"
"6644","0.221875","0.1875","0.265625","0.166015625","0.125","0.234375"
"6659","0.28854166666666664","0.21875","0.34375","0.3046875","0.265625","0.34375"
"6673","0.6489583333333333","0.53125","0.734375","0.44140625","0.359375","0.546875"
"6676","0.38125","0.34375","0.4375","0.3515625","0.3125","0.390625"
"6691","0.21041666666666667","0.1875","0.28125","0.158203125","0.125","0.203125"
"6692","0.35625","0.296875","0.421875","0.267578125","0.21875","0.34375"
"6695","0.23125","0.171875","0.328125","0.205078125","0.171875","0.25"
"6700","0.7645833333333333","0.703125","0.8125","0.697265625","0.609375","0.75"
