"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"618","","","","0.09375","0.09375","0.09375"
"620","","","","0.296875","0.296875","0.296875"
"621","","","","0.09375","0.09375","0.09375"
"622","","","","0.09375","0.09375","0.09375"
"624","","","","0.09375","0.09375","0.09375"
"625","","","","0.3125","0.3125","0.3125"
"627","","","","0.09375","0.09375","0.09375"
"628","","","","0.15625","0.15625","0.15625"
"629","","","","0.171875","0.171875","0.171875"
"630","","","","0.015625","0.015625","0.015625"
"631","","","","0.203125","0.203125","0.203125"
"632","","","","0.09375","0.09375","0.09375"
"633","","","","0.3125","0.3125","0.3125"
"634","","","","0.234375","0.234375","0.234375"
"635","","","","0.25","0.25","0.25"
"642","","","","0.25","0.25","0.25"
"643","","","","0.140625","0.140625","0.140625"
"644","","","","0.1875","0.1875","0.1875"
"645","0.140625","0.140625","0.140625","0.48046875","0.46875","0.5"
"646","","","","0.125","0.109375","0.140625"
"647","","","","0.2265625","0.203125","0.25"
"648","","","","0.1875","0.171875","0.203125"
"649","","","","0.21875","0.21875","0.21875"
"650","","","","0.328125","0.3125","0.34375"
"651","0.046875","0.046875","0.046875","0.48828125","0.15625","0.640625"
"652","","","","0.21875","0.1875","0.25"
"661","","","","0.328125","0.328125","0.328125"
"662","0.109375","0.109375","0.109375","0.2421875","0.125","0.578125"
"666","","","","0.0625","0.0625","0.0625"
"667","","","","0.046875","0.046875","0.046875"
"668","","","","0.703125","0.703125","0.703125"
"670","","","","0.21875","0.21875","0.21875"
"674","","","","0.1875","0.1875","0.1875"
"675","0.640625","0.640625","0.640625","0.2265625","0.171875","0.265625"
"676","","","","0.109375","0.109375","0.109375"
"680","","","","0.359375","0.359375","0.359375"
"681","","","","0.109375","0.109375","0.109375"
"682","","","","0.296875","0.296875","0.296875"
"684","","","","0.1875","0.1875","0.1875"
"685","0.53125","0.53125","0.53125","0.109375","0.03125","0.265625"
"687","","","","0.28125","0.28125","0.28125"
"688","","","","0.09375","0.09375","0.09375"
"690","","","","0.125","0.125","0.125"
"691","","","","0.125","0.125","0.125"
"692","","","","0.078125","0.078125","0.078125"
"694","","","","0.15625","0.15625","0.15625"
"695","","","","0.21875","0.21875","0.21875"
"696","","","","0.1875","0.1875","0.1875"
"699","","","","0.234375","0.234375","0.234375"
"701","","","","0.1640625","0.140625","0.1875"
"702","0.140625","0.140625","0.140625","0.11328125","0.078125","0.125"
"705","","","","0.3125","0.3125","0.3125"
"706","","","","0.71875","0.71875","0.71875"
"712","","","","0.21875","0.21875","0.21875"
"714","","","","0.140625","0.140625","0.140625"
"718","","","","0.65625","0.65625","0.65625"
"719","","","","0.171875","0.171875","0.171875"
"721","","","","0.140625","0.09375","0.1875"
"723","","","","0.1953125","0.1875","0.203125"
"724","","","","0.078125","0.078125","0.078125"
"725","","","","0.1875","0.1875","0.1875"
"726","","","","0.375","0.375","0.375"
"728","","","","0.078125","0.078125","0.078125"
"729","","","","0.234375","0.234375","0.234375"
"730","","","","0.125","0.125","0.125"
"731","","","","0.375","0.375","0.375"
"733","","","","0.65625","0.65625","0.65625"
"738","","","","0.21875","0.21875","0.21875"
"743","","","","0.109375","0.109375","0.109375"
"744","","","","0.1875","0.1875","0.1875"
"745","","","","0.0625","0.0625","0.0625"
"750","","","","0.203125","0.203125","0.203125"
"751","0.109375","0.109375","0.109375","0.171875","0.125","0.3125"
"753","","","","0.1875","0.1875","0.1875"
"754","0.078125","0.078125","0.078125","0.1171875","0.078125","0.203125"
"757","","","","0.125","0.125","0.125"
"758","","","","0.1875","0.1875","0.1875"
"759","","","","0.09375","0.09375","0.09375"
"760","","","","0.1953125","0.171875","0.21875"
"762","0.046875","0.046875","0.046875","0.515625","0.328125","0.640625"
"763","","","","0.34375","0.34375","0.34375"
"765","","","","0.078125","0.078125","0.078125"
"768","","","","0.09375","0.09375","0.09375"
"769","","","","0.234375","0.234375","0.234375"
"772","","","","0.28125","0.28125","0.28125"
"773","","","","0.1875","0.15625","0.21875"
"775","","","","0.265625","0.265625","0.265625"
"778","","","","0.3125","0.3125","0.3125"
"779","","","","0.15625","0.15625","0.15625"
"781","","","","0.171875","0.171875","0.171875"
"782","","","","0.15625","0.15625","0.15625"
"783","","","","0.1875","0.1875","0.1875"
"784","","","","0.75","0.75","0.75"
"788","0.453125","0.453125","0.453125","0.234375","0.171875","0.40625"
"789","","","","0.125","0.125","0.125"
